AMS,Amsterdam Airport Schiphol
PEK,Beijing Capital International Airport
YYC,Calgary International Airport
DFW,Dallas/Fort Worth International Airport
DXB,Dubai International Airport
YEG,Edmonton International Airport
FRA,Frankfurt Airport
ATL,Hartsfield-Jackson Atlanta International Airport
HKG,Hong Kong International Airport
DEL,Indira Gandhi International Airport
LHR,London Heathrow Airport
YUL,Montreal Pierre Elliott Trudeau International Airport
ORD,O'Hare International Airport
YOW,Ottawa Macdonald-Cartier International Airport
CDG,Paris-Charles de Gaulle Airport
PVG,Shanghai Pudong International Airport
HND,Tokyo Haneda Airport
YYZ,Toronto Pearson International Airport
YVR,Vancouver International Airport
YWG,Winnipeg James Armstrong Richardson International Airport